,eigVal_lossDiff_applied,eigVec_lossDiff_applied,eigVal_lossless,eigVec_lossless,coupling_coeff.,loss_diff,Ecm,XC,Ecm-XC
22,[1.37258176+0.01197598j 1.37117467+0.00030796j],"[[ 0.99095961+0.j         -0.01549216+0.13326305j]
 [ 0.01549216-0.13326305j  0.99095961+0.j        ]]",[1.37363397+2.76478926e-05j 1.37012247+6.24521074e-05j],"[[ 0.83255159+0.j         -0.55376526-0.01420883j]
 [ 0.55376526+0.01420883j  0.83255159+0.j        ]]",0.00162,-0.012193831228762542,1.3725564362124063,(1.3712+9.01e-05j),(0.0013564362124063312-9.01e-05j)
23,[1.37258098+0.01193146j 1.3711745 +0.00030876j],"[[ 0.99089321+0.j         -0.01559763+0.13374364j]
 [ 0.01559763-0.13374364j  0.99089321+0.j        ]]",[1.3736333 +2.76583388e-05j 1.37012218+6.24416612e-05j],"[[ 0.83248196+0.j       -0.55386983-0.014213j]
 [ 0.55386983+0.014213j  0.83248196+0.j      ]]",0.00162,-0.012150119184615385,1.3725554792116625,(1.3712+9.01e-05j),(0.0013554792116625691-9.01e-05j)
24,[1.37258015+0.01188694j 1.37117432+0.00030956j],"[[ 0.99082606+0.j         -0.01570376+0.13422781j]
 [ 0.01570376-0.13422781j  0.99082606+0.j        ]]",[1.37363261+2.76692838e-05j 1.37012187+6.24307162e-05j],"[[ 0.83240899+0.j         -0.55397936-0.01421738j]
 [ 0.55397936+0.01421738j  0.83240899+0.j        ]]",0.00162,-0.012106407140468227,1.3725544768451168,(1.3712+9.01e-05j),(0.0013544768451168032-9.01e-05j)
25,[1.37257928+0.01184242j 1.37117415+0.00031038j],"[[ 0.99075816+0.j         -0.01581056+0.13471561j]
 [ 0.01581056-0.13471561j  0.99075816+0.j        ]]",[1.37363188+2.76807262e-05j 1.37012155+6.24192738e-05j],"[[ 0.83233271+0.j         -0.55409386-0.01422196j]
 [ 0.55409386+0.01422196j  0.83233271+0.j        ]]",0.00162,-0.012062695096321071,1.3725534292761834,(1.3712+9.01e-05j),(0.0013534292761834266-9.01e-05j)
26,[1.37257837+0.01179789j 1.37117397+0.00031119j],"[[ 0.99068949+0.j         -0.01591803+0.13520709j]
 [ 0.01591803-0.13520709j  0.99068949+0.j        ]]",[1.37363113+2.76926648e-05j 1.37012121+6.24073352e-05j],"[[ 0.8322531 +0.j         -0.55421329-0.01422673j]
 [ 0.55421329+0.01422673j  0.8322531 +0.j        ]]",0.00162,-0.012018983052173913,1.3725523366682848,(1.3712+9.01e-05j),(0.001352336668284826-9.01e-05j)
27,[1.37257741+0.01175335j 1.37117379+0.00031202j],"[[ 0.99062003+0.j         -0.01602618+0.13570228j]
 [ 0.01602618-0.13570228j  0.99062003+0.j        ]]",[1.37363034+2.77050983e-05j 1.37012086+6.23949017e-05j],"[[ 0.83217019+0.j        -0.55433765-0.0142317j]
 [ 0.55433765+0.0142317j  0.83217019+0.j       ]]",0.00162,-0.011975271008026755,1.3725511991848505,(1.3712+9.01e-05j),(0.0013511991848504934-9.01e-05j)
28,[1.37257641+0.01170881j 1.37117361+0.00031285j],"[[ 0.99054979+0.j         -0.01613502+0.13620123j]
 [ 0.01613502-0.13620123j  0.99054979+0.j        ]]",[1.37362952+2.77180254e-05j 1.3701205 +6.23819746e-05j],"[[ 0.83208398+0.j         -0.55446691-0.01423687j]
 [ 0.55446691+0.01423687j  0.83208398+0.j        ]]",0.00162,-0.0119315589638796,1.3725500169893188,(1.3712+9.01e-05j),(0.001350016989318803-9.01e-05j)
29,[1.37257536+0.01166426j 1.37117343+0.00031369j],"[[ 0.99047874+0.j         -0.01624456+0.13670398j]
 [ 0.01624456-0.13670398j  0.99047874+0.j        ]]",[1.37362867+2.7731445e-05j 1.37012012+6.2368555e-05j],"[[ 0.83199448+0.j         -0.55460107-0.01424223j]
 [ 0.55460107+0.01424223j  0.83199448+0.j        ]]",0.00162,-0.011887846919732442,1.3725487902451348,(1.3712+9.01e-05j),(0.00134879024513479-9.01e-05j)
30,[1.37257427+0.0116197j  1.37117325+0.00031453j],"[[ 0.99040687+0.j         -0.01635481+0.13721058j]
 [ 0.01635481-0.13721058j  0.99040687+0.j        ]]",[1.37362779+2.77453559e-05j 1.37011973+6.23546441e-05j],"[[ 0.83190169+0.j         -0.5547401 -0.01424778j]
 [ 0.5547401 +0.01424778j  0.83190169+0.j        ]]",0.00162,-0.011844134875585284,1.3725475191157512,(1.3712+9.01e-05j),(0.0013475191157512612-9.01e-05j)
31,[1.37257314+0.01157514j 1.37117307+0.00031539j],"[[ 0.99033418+0.j         -0.01646578+0.13772107j]
 [ 0.01646578-0.13772107j  0.99033418+0.j        ]]",[1.37362688+2.77597568e-05j 1.37011932+6.23402432e-05j],"[[ 0.83180562+0.j         -0.55488399-0.01425353j]
 [ 0.55488399+0.01425353j  0.83180562+0.j        ]]",0.00162,-0.011800422831438128,1.3725462037646292,(1.3712+9.01e-05j),(0.001346203764629239-9.01e-05j)
32,[1.37257196+0.01153057j 1.37117288+0.00031624j],"[[ 0.99026064+0.j         -0.01657748+0.13823549j]
 [ 0.01657748-0.13823549j  0.99026064+0.j        ]]",[1.37362594+2.77746467e-05j 1.37011891+6.23253533e-05j],"[[ 0.83170628+0.j         -0.55503273-0.01425947j]
 [ 0.55503273+0.01425947j  0.83170628+0.j        ]]",0.00162,-0.01175671078729097,1.3725448443552357,(1.3712+9.01e-05j),(0.0013448443552357414-9.01e-05j)
