,eigVal_lossDiff_applied,eigVec_lossDiff_applied,eigVal_lossless,eigVec_lossless,Coupling coeff.,Ecm,XC,Ecm-XC
24,[1.371-0.00261892j 1.371-0.00081708j],"[[8.81302345e-01+0.j         4.64767114e-14-0.47255283j]
 [0.00000000e+00+0.47255283j 8.81302345e-01+0.j        ]]",[1.372356-9.e-05j 1.369644-9.e-05j],"[[ 0.70710678-0.j  0.70710678+0.j]
 [ 0.70710678+0.j -0.70710678+0.j]]",0.001356,(1.371-9e-05j),(1.371-9e-05j),0j
25,[1.371-0.00261665j 1.371-0.00081935j],"[[8.80908151e-01+0.j         5.34294831e-15-0.47328726j]
 [0.00000000e+00+0.47328726j 8.80908151e-01+0.j        ]]",[1.3723575-9.e-05j 1.3696425-9.e-05j],"[[ 0.70710678-0.00000000e+00j -0.70710678-2.88672788e-31j]
 [ 0.70710678+0.00000000e+00j  0.70710678+0.00000000e+00j]]",0.0013575,(1.371-9e-05j),(1.371-9e-05j),0j
26,[1.371-0.00261438j 1.371-0.00082162j],"[[8.80512347e-01+0.j         1.90680804e-14-0.47402321j]
 [0.00000000e+00+0.47402321j 8.80512347e-01+0.j        ]]",[1.372359-9.e-05j 1.369641-9.e-05j],"[[ 0.70710678+0.00000000e+00j  0.70710678+0.00000000e+00j]
 [ 0.70710678-0.00000000e+00j -0.70710678-7.05157017e-18j]]",0.001359,(1.371-9e-05j),(1.371-9e-05j),0j
27,[1.371-0.0026121j 1.371-0.0008239j],"[[ 8.80114920e-01+0.j          8.72635297e-14-0.47476071j]
 [-5.22434597e-14+0.47476071j  8.80114920e-01+0.j        ]]",[1.3723605-9.e-05j 1.3696395-9.e-05j],"[[ 0.70710678+0.j  0.70710678+0.j]
 [ 0.70710678-0.j -0.70710678+0.j]]",0.0013605,(1.371-9e-05j),(1.371-9e-05j),0j
28,[1.371-0.00260982j 1.371-0.00082618j],"[[ 8.79715857e-01+0.j         -5.04318809e-14-0.47549975j]
 [ 0.00000000e+00+0.47549975j  8.79715857e-01+0.j        ]]",[1.372362-9.e-05j 1.369638-9.e-05j],"[[ 0.70710678+0.00000000e+00j -0.70710678-7.03603807e-18j]
 [ 0.70710678-0.00000000e+00j  0.70710678+0.00000000e+00j]]",0.001362,(1.371-9e-05j),(1.371-9e-05j),0j
29,[1.371-0.00260752j 1.371-0.00082848j],"[[ 8.79315146e-01+0.j         -1.07497344e-13-0.47624035j]
 [ 8.77655045e-14+0.47624035j  8.79315146e-01+0.j        ]]",[1.3723635-9.e-05j 1.3696365-9.e-05j],"[[ 0.70710678+0.00000000e+00j  0.70710678+0.00000000e+00j]
 [ 0.70710678-0.00000000e+00j -0.70710678-7.03376159e-18j]]",0.0013635,(1.371-9e-05j),(1.371-9e-05j),0j
30,[1.371-0.00260522j 1.371-0.00083078j],"[[ 8.78912770e-01+0.j         -5.23608934e-14-0.47698254j]
 [ 0.00000000e+00+0.47698254j  8.78912770e-01+0.j        ]]",[1.372365-9.e-05j 1.369635-9.e-05j],"[[ 0.70710678+0.00000000e+00j  0.70710678+0.00000000e+00j]
 [ 0.70710678-0.00000000e+00j -0.70710678+7.02057425e-18j]]",0.001365,(1.371-9e-05j),(1.371-9e-05j),0j
31,[1.371-0.00260291j 1.371-0.00083309j],"[[ 8.78508719e-01+0.j         -4.70179451e-14-0.47772631j]
 [ 0.00000000e+00+0.47772631j  8.78508719e-01+0.j        ]]",[1.3723665-9.e-05j 1.3696335-9.e-05j],"[[ 0.70710678+0.j -0.70710678+0.j]
 [ 0.70710678-0.j  0.70710678+0.j]]",0.0013665,(1.371-9e-05j),(1.371-9e-05j),0j
32,[1.371-0.00260059j 1.371-0.00083541j],"[[8.78102976e-01+0.j        3.02743941e-14-0.4784717j]
 [0.00000000e+00+0.4784717j 8.78102976e-01+0.j       ]]",[1.372368-9.e-05j 1.369632-9.e-05j],"[[ 0.70710678+0.00000000e+00j -0.70710678-7.00517826e-18j]
 [ 0.70710678-0.00000000e+00j  0.70710678+0.00000000e+00j]]",0.001368,(1.371-9e-05j),(1.371-9e-05j),0j
33,[1.371-0.00259826j 1.371-0.00083774j],"[[ 8.77695528e-01+0.j        -6.63913369e-14-0.4792187j]
 [ 0.00000000e+00+0.4792187j  8.77695528e-01+0.j       ]]",[1.3723695-9.e-05j 1.3696305-9.e-05j],"[[ 0.70710678+0.00000000e+00j -0.70710678+8.50908191e-31j]
 [ 0.70710678-0.00000000e+00j  0.70710678+0.00000000e+00j]]",0.0013695,(1.371-9e-05j),(1.371-9e-05j),0j
