,eigVal_lossDiff_applied,eigVec_lossDiff_applied,eigVal_lossless,eigVec_lossless,coupling_coeff.,loss_diff,Ecm,XC,Ecm-XC
35,[1.37256746+0.01140253j 1.37117304+0.00031314j],"[[ 0.99028522+0.j         -0.01668723+0.13804608j]
 [ 0.01668723-0.13804608j  0.99028522+0.j        ]]",[1.37360447+2.76387837e-05j 1.37013603+6.24612163e-05j],"[[ 0.8326123 +0.j         -0.55366948-0.01438274j]
 [ 0.55366948+0.01438274j  0.8326123 +0.j        ]]",0.0016,-0.011625574654849499,1.372540503412213,(1.3712+9.01e-05j),(0.0013405034122129234-9.01e-05j)
36,[1.37256612+0.01135796j 1.37117285+0.000314j  ],"[[ 0.99021016+0.j         -0.01680021+0.13856982j]
 [ 0.01680021-0.13856982j  0.99021016+0.j        ]]",[1.37360341+2.76557347e-05j 1.37013556+6.24442653e-05j],"[[ 0.83249931+0.j         -0.55383917-0.01438961j]
 [ 0.55383917+0.01438961j  0.83249931+0.j        ]]",0.0016,-0.011581862610702341,1.3725389694045542,(1.3712+9.01e-05j),(0.0013389694045542466-9.01e-05j)
37,[1.37256472+0.01131338j 1.37117267+0.00031487j],"[[ 0.99013421+0.j         -0.01691395+0.13909769j]
 [ 0.01691395-0.13909769j  0.99013421+0.j        ]]",[1.37360231+2.76731726e-05j 1.37013508+6.24268274e-05j],"[[ 0.83238307+0.j         -0.55401369-0.01439668j]
 [ 0.55401369+0.01439668j  0.83238307+0.j        ]]",0.0016,-0.011538150566555183,1.3725373921560693,(1.3712+9.01e-05j),(0.001337392156069317-9.01e-05j)
38,[1.37256329+0.01126879j 1.37117248+0.00031575j],"[[ 0.99005736+0.j         -0.01702847+0.13962972j]
 [ 0.01702847-0.13962972j  0.99005736+0.j        ]]",[1.37360119+2.76910964e-05j 1.37013458+6.24089036e-05j],"[[ 0.83226356+0.j         -0.55419301-0.01440393j]
 [ 0.55419301+0.01440393j  0.83226356+0.j        ]]",0.0016,-0.011494438522408027,1.3725357718302666,(1.3712+9.01e-05j),(0.0013357718302666743-9.01e-05j)
39,[1.37256182+0.01122419j 1.37117229+0.00031664j],"[[ 0.98997959+0.j         -0.01714377+0.14016597j]
 [ 0.01714377-0.14016597j  0.98997959+0.j        ]]",[1.37360004+2.77095049e-05j 1.37013407+6.23904951e-05j],"[[ 0.83214081+0.j         -0.55437712-0.01441138j]
 [ 0.55437712+0.01441138j  0.83214081+0.j        ]]",0.0016,-0.01145072647826087,1.3725341085906628,(1.3712+9.01e-05j),(0.0013341085906628525-9.01e-05j)
40,[1.3725603+0.01117959j 1.3711721+0.00031753j],"[[ 0.98990089+0.j         -0.01725987+0.14070649j]
 [ 0.01725987-0.14070649j  0.98990089+0.j        ]]",[1.37359886+2.77283971e-05j 1.37013355+6.23716029e-05j],"[[ 0.83201481+0.j         -0.554566  -0.01441902j]
 [ 0.554566  +0.01441902j  0.83201481+0.j        ]]",0.0016,-0.011407014434113712,1.3725324026007801,(1.3712+9.01e-05j),(0.0013324026007801582-9.01e-05j)
41,[1.37255874+0.01113498j 1.37117191+0.00031843j],"[[ 0.98982125+0.j         -0.01737677+0.14125133j]
 [ 0.01737677-0.14125133j  0.98982125+0.j        ]]",[1.37359765+2.77477722e-05j 1.37013301+6.23522278e-05j],"[[ 0.83188557+0.j         -0.55475964-0.01442686j]
 [ 0.55475964+0.01442686j  0.83188557+0.j        ]]",0.0016,-0.011363302389966556,1.372530654024148,(1.3712+9.01e-05j),(0.0013306540241480036-9.01e-05j)
42,[1.37255714+0.01109036j 1.37117172+0.00031933j],"[[ 0.98974065+0.j         -0.01749448+0.14180054j]
 [ 0.01749448-0.14180054j  0.98974065+0.j        ]]",[1.37359641+2.7767629e-05j 1.37013246+6.2332371e-05j],"[[ 0.8317531 +0.j         -0.55495803-0.01443488j]
 [ 0.55495803+0.01443488j  0.8317531 +0.j        ]]",0.0016,-0.011319590345819398,1.3725288630243009,(1.3712+9.01e-05j),(0.001328863024300908-9.01e-05j)
43,[1.37255551+0.01104573j 1.37117152+0.00032025j],"[[ 0.98965907+0.j         -0.01761302+0.14235418j]
 [ 0.01761302-0.14235418j  0.98965907+0.j        ]]",[1.37359514+2.77879665e-05j 1.37013189+6.23120335e-05j],"[[ 0.8316174 +0.j        -0.55516115-0.0144431j]
 [ 0.55516115+0.0144431j  0.8316174 +0.j       ]]",0.0016,-0.01127587830167224,1.3725270297647802,(1.3712+9.01e-05j),(0.0013270297647802742-9.01e-05j)
44,[1.37255383+0.0110011j  1.37117133+0.00032117j],"[[ 0.98957649+0.j        -0.01773241+0.1429123j]
 [ 0.01773241-0.1429123j  0.98957649+0.j       ]]",[1.37359384+2.78087839e-05j 1.37013131+6.22912161e-05j],"[[ 0.83147847+0.j        -0.55536898-0.0144515j]
 [ 0.55536898+0.0144515j  0.83147847+0.j       ]]",0.0016,-0.011232166257525085,1.3725251544091335,(1.3712+9.01e-05j),(0.0013251544091335-9.01e-05j)
