,eigVal,eigVec,Coupling coeff.,Ecm,XC,Ecm-XC
34,[1.371-0.00321941j 1.371-0.00016059j],"[[ 9.88909066e-01+0.j         -9.80465709e-15-0.14852225j]
 [ 0.00000000e+00+0.14852225j  9.88909066e-01+0.j        ]]",0.00047,(1.371-9e-05j),(1.371-9e-05j),0j
35,[1.371-0.00321787j 1.371-0.00016213j],"[[9.88664844e-01+0.j         1.69773050e-14-0.15013935j]
 [0.00000000e+00+0.15013935j 9.88664844e-01+0.j        ]]",0.000475,(1.371-9e-05j),(1.371-9e-05j),0j
36,[1.371-0.0032163j 1.371-0.0001637j],"[[9.88417726e-01+0.j        1.60427227e-14-0.1517577j]
 [0.00000000e+00+0.1517577j 9.88417726e-01+0.j       ]]",0.00047999999999999996,(1.371-9e-05j),(1.371-9e-05j),0j
37,[1.371-0.00321472j 1.371-0.00016528j],"[[9.88167699e-01+0.j         3.22658567e-14-0.15337731j]
 [0.00000000e+00+0.15337731j 9.88167699e-01+0.j        ]]",0.00048499999999999997,(1.371-9e-05j),(1.371-9e-05j),0j
38,[1.371-0.00321312j 1.371-0.00016688j],"[[ 9.87914754e-01+0.j         -6.26712224e-15-0.15499819j]
 [ 0.00000000e+00+0.15499819j  9.87914754e-01+0.j        ]]",0.00049,(1.371-9e-05j),(1.371-9e-05j),0j
39,[1.371-0.0032115j 1.371-0.0001685j],"[[9.87658878e-01+0.j         4.40966708e-15-0.15662037j]
 [0.00000000e+00+0.15662037j 9.87658878e-01+0.j        ]]",0.000495,(1.371-9e-05j),(1.371-9e-05j),0j
40,[1.371-0.00320987j 1.371-0.00017013j],"[[9.87400061e-01+0.j         3.99680289e-15-0.15824386j]
 [0.00000000e+00+0.15824386j 9.87400061e-01+0.j        ]]",0.0005,(1.371-9e-05j),(1.371-9e-05j),0j
41,[1.371-0.00320821j 1.371-0.00017179j],"[[9.87138290e-01+0.j         2.31759056e-14-0.15986868j]
 [0.00000000e+00+0.15986868j 9.87138290e-01+0.j        ]]",0.000505,(1.371-9e-05j),(1.371-9e-05j),0j
42,[1.371-0.00320654j 1.371-0.00017346j],"[[9.86873554e-01+0.j         1.77332107e-15-0.16149485j]
 [0.00000000e+00+0.16149485j 9.86873554e-01+0.j        ]]",0.00051,(1.371-9e-05j),(1.371-9e-05j),0j
43,[1.371-0.00320485j 1.371-0.00017515j],"[[ 9.86605842e-01+0.j         -1.60722130e-14-0.16312239j]
 [ 0.00000000e+00+0.16312239j  9.86605842e-01+0.j        ]]",0.000515,(1.371-9e-05j),(1.371-9e-05j),0j
44,[1.371-0.00320314j 1.371-0.00017686j],"[[ 9.86335140e-01+0.j        -5.81132364e-15-0.1647513j]
 [ 0.00000000e+00+0.1647513j  9.86335140e-01+0.j       ]]",0.00052,(1.371-9e-05j),(1.371-9e-05j),0j
